transformer_ulast_1,1,48.2613,48.4375
transformer_enc_1,1,88.3360,85.7924
transformer_enc_ulast_1,1,43.5097,44.3579
transformer_1,1,90.1136,87.4235
transformer_enc_diff_1,1,126.9922,129.1978
transformer_enc_ulast_3,3,44.2707,45.1157
transformer_ulast_3,3,47.9521,47.9376
transformer_3,3,109.1045,107.8550
transformer_enc_3,3,88.7476,85.9029
transformer_diff_3,3,127.0571,128.9256
transformer_enc_diff_3,3,127.5087,129.2747
transformer_diff_ulast_3,3,127.0526,128.9428
transformer_enc_diff_ulast_3,3,127.1180,128.7466
transformer_enc_ulast_4,4,47.3087,47.7883
transformer_ulast_4,4,49.2024,50.1603
transformer_enc_4,4,89.4294,87.9139
transformer_4,4,90.4926,88.5451
transformer_diff_4,4,127.0809,129.3269
transformer_enc_diff_4,4,126.8332,128.8747
transformer_diff_ulast_4,4,127.2373,129.2848
transformer_enc_diff_ulast_4,4,126.9759,129.0037
transformer_ulast_5,5,51.5217,51.1878
transformer_enc_ulast_5,5,45.2693,45.9381
transformer_enc_5,5,89.1204,86.8622
transformer_5,5,90.3502,87.7484
lstm_4,4,91.7286,91.4650
transformer_diff_5,5,126.9708,129.0040
transformer_enc_diff_5,5,126.9957,128.8245
transformer_diff_ulast_5,5,126.9801,129.2140
transformer_enc_diff_ulast_5,5,126.9754,128.9824
transformer_ulast_6,6,47.6038,47.8676
transformer_enc_ulast_6,6,44.0526,44.5903
transformer_6,6,93.8799,90.3614
transformer_enc_6,6,87.9314,85.4920
lstm_5,5,91.5466,89.7505
transformer_diff_6,6,127.0469,128.7479
transformer_enc_diff_6,6,126.9754,128.7636
transformer_diff_ulast_6,6,127.0543,128.8439
lstm_6,6,90.9958,91.0300
transformer_ulast_7,7,48.4209,48.5391
transformer_enc_ulast_7,7,44.6881,45.1943
transformer_enc_diff_ulast_6,6,126.9881,128.9587
